date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2021-01-18,New York,40.712775,-74.005973,5.030833333333334,58.208333333333336,0.0,5.0
2021-01-19,New York,40.712775,-74.005973,3.177083333333334,59.5,0.0,2.94
2021-01-20,New York,40.712775,-74.005973,2.2144000000000004,57.96,-1.11,1.11
2021-01-21,New York,40.712775,-74.005973,0.032500000000000216,55.0,-6.0,-1.67
2021-01-22,New York,40.712775,-74.005973,3.9862499999999996,54.166666666666664,-1.0,4.46
2021-01-23,New York,40.712775,-74.005973,0.17375000000000018,44.25,-3.33,-1.0
2021-01-24,New York,40.712775,-74.005973,-3.0741666666666663,43.875,-6.11,-4.0
2021-01-25,New York,40.712775,-74.005973,-1.2625000000000002,49.041666666666664,-6.11,-3.0
2021-01-26,New York,40.712775,-74.005973,0.6296551724137932,63.724137931034484,-1.11,1.0
2021-01-27,New York,40.712775,-74.005973,1.4742307692307692,80.65384615384616,-1.0,2.0
2021-01-28,New York,40.712775,-74.005973,-0.7966666666666665,54.5,-4.0,-2.0
2021-01-29,New York,40.712775,-74.005973,-6.021250000000001,45.958333333333336,-10.56,-7.78
2021-01-30,New York,40.712775,-74.005973,-5.487083333333332,51.333333333333336,-10.0,-7.0
2021-01-31,New York,40.712775,-74.005973,-4.614166666666667,58.5,-8.33,-5.56
2021-02-01,New York,40.712775,-74.005973,-2.66375,89.16666666666667,-6.11,-4.0
2021-02-02,New York,40.712775,-74.005973,-0.055000000000000014,87.5,-2.22,0.0
2021-02-03,New York,40.712775,-74.005973,0.10559999999999996,77.8,-2.78,-0.56
2021-02-04,New York,40.712775,-74.005973,1.36,56.0,-2.22,0.56
2021-02-05,New York,40.712775,-74.005973,3.482083333333333,66.75,-1.67,3.16
2021-02-06,New York,40.712775,-74.005973,3.3975000000000004,49.375,-4.44,2.0
2021-02-07,New York,40.712775,-74.005973,0.6110810810810811,75.43243243243244,-2.22,0.77
2021-02-08,New York,40.712775,-74.005973,-4.331666666666667,64.45833333333333,-10.56,-6.26
2021-02-09,New York,40.712775,-74.005973,-1.9517857142857138,74.60714285714286,-8.0,-1.86
2021-02-10,New York,40.712775,-74.005973,-1.9120833333333331,65.83333333333333,-7.78,-2.0
2021-02-11,New York,40.712775,-74.005973,-1.6803571428571427,72.71428571428571,-4.44,-2.29
2021-02-12,New York,40.712775,-74.005973,-3.3945833333333337,49.583333333333336,-8.89,-4.29
2021-02-13,New York,40.712775,-74.005973,-2.660833333333334,48.125,-6.0,-2.22
2021-02-14,New York,40.712775,-74.005973,-0.8687499999999999,72.875,-4.44,-1.0
2021-02-15,New York,40.712775,-74.005973,0.6392,70.76,-1.67,1.0
2021-02-16,New York,40.712775,-74.005973,3.6116666666666664,87.5,-1.0,1.45
2021-02-17,New York,40.712775,-74.005973,-1.1024999999999998,46.333333333333336,-6.67,-3.88
2021-02-18,New York,40.712775,-74.005973,-2.610625,71.15625,-5.0,-3.0
2021-02-19,New York,40.712775,-74.005973,-1.5269047619047622,89.57142857142857,-3.89,-2.0
2021-02-20,New York,40.712775,-74.005973,-0.31999999999999995,69.25925925925925,-4.44,-1.66
2021-02-21,New York,40.712775,-74.005973,-1.58125,55.166666666666664,-7.22,-2.58
2021-02-22,New York,40.712775,-74.005973,0.57,75.03225806451613,-3.89,1.0
2021-02-23,New York,40.712775,-74.005973,3.014166666666666,79.29166666666667,0.0,3.0
2021-02-24,New York,40.712775,-74.005973,6.457083333333333,55.333333333333336,0.0,4.32
2021-02-25,New York,40.712775,-74.005973,7.217083333333332,47.375,3.33,5.0
2021-02-26,New York,40.712775,-74.005973,3.8508333333333327,42.958333333333336,-1.11,2.22
2021-02-27,New York,40.712775,-74.005973,5.769333333333335,81.86666666666666,2.78,4.44
2021-02-28,New York,40.712775,-74.005973,5.26875,76.45833333333333,1.67,6.0
2021-03-01,New York,40.712775,-74.005973,5.752702702702704,87.35135135135135,3.33,5.59
2021-03-02,New York,40.712775,-74.005973,-1.0808333333333333,37.0,-6.67,-5.0
2021-03-03,New York,40.712775,-74.005973,3.2504166666666663,43.458333333333336,-3.33,1.27
2021-03-04,New York,40.712775,-74.005973,5.121250000000001,47.958333333333336,0.56,2.22
2021-03-05,New York,40.712775,-74.005973,-1.187916666666666,37.75,-6.11,-3.89
2021-03-06,New York,40.712775,-74.005973,0.5829166666666665,41.875,-2.0,0.56
2021-03-07,New York,40.712775,-74.005973,0.3366666666666666,45.5,-3.33,-0.56
2021-03-08,New York,40.712775,-74.005973,0.8933333333333332,40.75,-4.44,-1.67
2021-03-09,New York,40.712775,-74.005973,8.454166666666667,37.833333333333336,1.67,4.51
2021-03-10,New York,40.712775,-74.005973,7.9075000000000015,52.5,1.0,6.0
2021-03-11,New York,40.712775,-74.005973,10.957499999999998,69.5,5.56,7.78
2021-03-12,New York,40.712775,-74.005973,15.850833333333334,40.416666666666664,8.37,16.0
2021-03-13,New York,40.712775,-74.005973,7.507083333333333,29.208333333333332,0.0,1.85
2021-03-14,New York,40.712775,-74.005973,7.3183333333333325,31.75,2.78,5.0
